,customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,totalCharges_tenure_ratio
0,5919,1,0,0,2,29.85,29.85,0,29.85
1,38,34,1,2,1,56.95,1889.5,0,55.5735294117647
2,1101,2,1,0,1,53.85,108.15,1,54.075
3,2783,45,0,2,3,42.3,1840.75,0,40.90555555555556
4,3241,2,1,0,2,70.7,151.65,1,75.825
5,4835,8,1,0,2,99.65,820.5,1,102.5625
6,6213,22,1,0,0,89.1,1949.4,0,88.60909090909091
7,5433,10,0,0,1,29.75,301.9,0,30.189999999999998
8,6046,28,1,0,2,104.8,3046.05,1,108.78750000000001
9,4157,62,1,2,3,56.15,3487.95,0,56.25725806451613
10,6116,13,1,0,1,49.95,587.45,0,45.18846153846154
11,6758,16,1,1,0,18.95,326.8,0,20.425
12,5292,58,1,2,0,100.35,5681.1,0,97.95
13,5145,49,1,0,3,103.7,5036.3,1,102.78163265306122
14,6621,25,1,0,2,105.5,2686.05,0,107.44200000000001
15,3421,69,1,1,0,113.25,7895.15,0,114.42246376811593
16,2860,52,1,2,1,20.65,1022.95,0,19.672115384615385
17,5816,71,1,1,3,106.7,7382.25,0,103.97535211267606
18,578,10,1,0,0,55.2,528.35,1,52.835
19,3324,21,1,0,2,90.05,1862.9,0,88.70952380952382
20,1827,1,0,0,2,39.65,39.65,1,39.65
21,4803,12,1,2,3,19.8,202.25,0,16.854166666666668
22,6520,1,1,0,1,20.15,20.15,1,20.15
23,609,58,1,1,0,59.9,3505.1,0,60.432758620689654
24,1009,49,1,0,0,59.6,2970.3,0,60.61836734693878
25,4558,30,1,0,3,55.3,1530.6,0,51.019999999999996
26,2166,47,1,0,2,99.35,4749.15,1,101.04574468085106
27,3533,1,0,0,2,30.2,30.2,1,30.2
28,1890,72,1,1,0,90.25,6369.45,0,88.46458333333334
29,6345,17,1,0,1,64.7,1093.1,1,64.3
30,3986,71,1,1,0,96.35,6766.95,0,95.30915492957746
31,1484,2,1,0,0,95.5,181.65,0,90.825
32,853,27,1,2,1,66.15,1874.45,0,69.42407407407407
33,2786,1,1,0,3,20.2,20.2,0,20.2
34,4758,1,1,0,3,45.25,45.25,0,45.25
35,5746,72,1,1,3,99.9,7251.7,0,100.71805555555555
36,6077,5,1,0,2,69.7,316.9,1,63.379999999999995
37,949,46,1,0,0,74.8,3548.3,0,77.13695652173914
38,6473,34,1,0,2,106.35,3549.25,1,104.38970588235294
39,5508,11,1,0,3,97.85,1105.4,1,100.4909090909091
40,3729,10,1,2,1,49.55,475.7,0,47.57
41,3290,70,1,1,0,69.2,4872.35,0,69.605
42,2628,17,1,2,1,20.75,418.25,0,24.602941176470587
43,4530,63,1,1,0,79.85,4861.45,0,77.16587301587302
44,3893,13,1,0,2,76.2,981.45,0,75.49615384615385
45,5470,49,1,0,2,84.5,3906.7,0,79.72857142857143
46,4941,2,1,0,1,49.25,97.0,0,48.5
47,5975,2,1,0,2,80.65,144.15,1,72.075
48,5935,52,1,1,0,79.75,4217.8,0,81.11153846153846
49,341,69,1,1,0,64.15,4254.1,0,61.6536231884058
50,3728,43,1,0,2,90.25,3838.75,0,89.27325581395348
51,3148,15,1,0,0,99.1,1426.4,1,95.09333333333333
52,6693,25,1,0,0,69.5,1752.65,0,70.10600000000001
53,3846,8,1,0,0,80.65,633.3,1,79.1625
54,6712,60,1,2,0,74.85,4456.35,0,74.27250000000001
55,3012,18,1,0,2,95.45,1752.55,1,97.36388888888888
56,4533,63,1,2,0,99.65,6311.2,0,100.17777777777778
57,5136,66,1,2,2,108.45,7076.35,0,107.21742424242424
58,6932,34,1,1,0,24.95,894.3,0,26.302941176470586
59,2141,72,1,1,0,107.5,7853.7,0,109.07916666666667
60,5725,47,1,0,2,100.5,4707.1,0,100.15106382978725
